Name,Social,Quiet hours,Shared Bathrooms,Sports
1,Yes,Yes,No,Yes
2,No,Yes,Yes,Yes
3,Yes,No,Yes,No
4,No,No,No,Yes
5,Yes,Yes,No,Yes
6,No,Yes,Yes,Yes
7,Yes,Yes,No,Yes
8,No,No,Yes,No
9,No,Yes,No,No
10,Yes,Yes,Yes,No
11,No,No,Yes,Yes
12,Yes,No,Yes,Yes
13,Yes,No,No,No
14,Yes,No,Yes,No
15,Yes,No,Yes,No
16,No,No,Yes,Yes
17,No,Yes,Yes,Yes
18,Yes,Yes,No,No
19,No,No,Yes,No
20,No,Yes,No,Yes
21,Yes,No,No,No
22,No,No,Yes,No
23,Yes,Yes,Yes,No
24,No,Yes,Yes,Yes
25,Yes,Yes,No,No
26,No,No,No,Yes
27,Yes,No,Yes,No
28,No,No,No,Yes
29,No,No,Yes,No
30,No,Yes,Yes,Yes
31,Yes,No,Yes,No
32,No,Yes,Yes,No
33,No,No,Yes,No
34,No,No,Yes,No
35,No,No,Yes,No
36,Yes,No,Yes,Yes
37,No,Yes,No,Yes
38,Yes,No,Yes,No
39,No,Yes,No,Yes
40,Yes,No,Yes,Yes
41,No,Yes,No,Yes
42,Yes,No,No,No
43,Yes,Yes,Yes,No
44,Yes,No,Yes,No
45,Yes,No,Yes,No
46,Yes,No,Yes,No
47,No,Yes,Yes,Yes
48,No,No,No,No
49,Yes,No,No,Yes
50,No,Yes,No,Yes
51,No,No,No,Yes
52,No,No,No,Yes
53,No,Yes,No,No
54,No,Yes,Yes,No
55,No,No,Yes,No
56,No,No,No,No
57,Yes,Yes,Yes,Yes
58,No,Yes,No,No
59,Yes,Yes,Yes,Yes
60,Yes,Yes,No,Yes
61,Yes,No,No,No
62,Yes,No,Yes,No
63,No,No,Yes,Yes
64,Yes,No,Yes,Yes
65,Yes,No,No,Yes
66,Yes,No,Yes,No
67,No,Yes,No,Yes
68,Yes,No,No,No
69,Yes,No,Yes,No
70,Yes,Yes,Yes,No
71,Yes,Yes,Yes,Yes
72,No,Yes,Yes,No
73,No,Yes,No,Yes
74,Yes,No,No,Yes
75,Yes,No,No,No
76,Yes,Yes,Yes,Yes
77,Yes,Yes,Yes,Yes
78,Yes,Yes,No,No
79,No,No,No,Yes
80,Yes,No,No,Yes
